targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,1,8,88,77,,,b,0,0.833972367342,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,1,9,89,70,,,h,0,1.0010091361,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,1,10,90,7,,,h,0,0.984316785893,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,1,11,91,55,,,h,0,0.617570038376,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,1,12,92,34,,,h,0,1.1842056453,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,1,13,93,76,,,b,0,0.784137245442,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,1,14,94,48,,,h,0,1.13419347555,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,1,15,95,78,,,b,0,1.18442997923,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,1,16,96,36,,,h,0,0.867379794407,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,1,17,97,44,,,b,0,1.53480951411,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,1,18,98,74,,,b,0,1.76802149207,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,1,19,99,6,,,h,0,1.23424860598,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,wnL.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LcongWN,h,-20,landoltCL.png,,,,,1,20,100,25,,,h,0,1.58452807032,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,1,21,101,2,,,h,0,2.06853438102,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,1,22,102,64,,,h,0,1.75162238882,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,ribbitL.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,Lcong,b,-20,landoltCL.png,,,,,1,23,103,16,,,b,0,1.75154944364,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,1,24,104,69,,,h,0,0.984077056506,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,1,25,105,73,,,b,0,1.80135744018,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,wnL.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LinCongWN,h,20,landoltCTop.png,,,,,1,26,106,31,,,h,0,0.950714716149,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,1,27,107,67,,,h,0,1.01764283693,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,1,28,108,39,,,h,0,0.884005064378,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,1,29,109,53,,,h,0,0.767458457893,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,1,30,110,12,,,b,0,1.13445739781,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
